,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-11 02:14:00,14.9167,382.61,85470.6,0.0323,-381.612,-10.97,-25.301,-381.612,-19.05,-23.206
2017-10-11 02:15:00,15.3974,380.09,94440.3,0.0392,-379.409,-13.034,-18.722,-379.409,-19.161,-16.307
2017-10-11 02:16:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-11 02:17:00,16.7958,381.28,93804.0,0.037,-380.583,-11.469,-19.94,-380.583,-18.043,-17.915
2017-10-11 02:18:00,16.7646,382.07,93384.1,0.0331,-381.405,-12.056,-18.996,-381.405,-18.35,-16.838
2017-10-11 02:19:00,15.7742,381.96,88465.2,0.038,-381.357,-8.317,-19.831,-381.357,-15.027,-18.714
2017-10-11 02:20:00,15.8312,382.17,93715.1,0.0334,-381.655,-7.075,-18.583,-381.655,-13.493,-17.877
2017-10-11 02:21:00,16.0507,380.47,89873.5,0.0328,-380.055,-12.303,-12.71,-380.055,-16.808,-10.738
2017-10-11 02:22:00,16.2661,382.26,95002.6,0.0328,-381.743,-12.75,-15.188,-381.743,-17.968,-12.974
2017-10-11 02:23:00,,,,,,,,,,
2017-10-11 02:24:00,15.5051,381.89,95017.0,0.036,-381.335,-12.794,-16.046,-381.335,-18.273,-13.778
2017-10-11 02:25:00,16.83,379.3,97086.5,0.0331,-378.92,-10.742,-13.077,-378.92,-15.457,-11.534
2017-10-11 02:26:00,15.7384,383.43,100333.2,0.0339,-382.957,-13.252,-13.582,-382.957,-18.017,-11.278
2017-10-11 02:27:00,15.6395,384.38,99671.3,0.0373,-383.776,-12.78,-17.356,-383.776,-18.685,-15.02
2017-10-11 02:28:00,16.2693,383.42,100420.8,0.0323,-382.836,-14.422,-15.377,-382.836,-19.687,-12.641
2017-10-11 02:29:00,15.8437,377.67,92027.3,0.0335,-377.242,-14.708,-10.397,-377.242,-18.505,-7.791
2017-10-11 02:30:00,16.1186,375.4,89741.5,0.0336,-374.956,-14.497,-11.089,-374.956,-18.518,-8.51
2017-10-11 02:31:00,17.6364,375.58,94161.7,0.0346,-375.3,-11.413,-9.141,-375.3,-15.005,-7.556
2017-10-11 02:32:00,17.2205,376.73,94301.1,0.0323,-376.332,-13.886,-10.399,-376.332,-17.75,-8.021
2017-10-11 02:33:00,16.9535,378.97,98954.3,0.0336,-378.568,-13.396,-11.293,-378.568,-17.557,-9.015
2017-10-11 02:34:00,16.2831,375.31,99592.6,0.0335,-374.887,-14.452,-10.49,-374.887,-18.337,-7.928
2017-10-11 02:35:00,16.9563,377.59,101313.5,0.0312,-377.23,-14.174,-8.483,-377.23,-17.481,-6.091
2017-10-11 02:36:00,15.7093,376.92,92115.5,0.0352,-376.638,-12.802,-6.851,-376.638,-15.693,-4.939
2017-10-11 02:37:00,16.1943,376.74,95964.6,0.0322,-376.419,-15.021,-4.257,-376.419,-17.039,-1.795
2017-10-11 02:38:00,15.2771,376.32,97559.6,0.0298,-376.022,-14.669,-2.693,-376.022,-16.238,-0.404
2017-10-11 02:39:00,,,,,,,,,,
